CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8849593,2,1,3,F,27,3,9,-,-,1,ALAMEDA,OAKLAND,2019
8855309,2,1,3,F,75,2,9,P,-,0,ALAMEDA,OAKLAND,2019
8860034,2,1,3,M,74,3,9,-,-,0,ALAMEDA,OAKLAND,2019
8860038,2,1,3,F,18,4,1,-,-,3,ALAMEDA,OAKLAND,2019
8860070,1,1,4,-,25,4,9,-,-,3,ALAMEDA,OAKLAND,2019
8864708,2,1,2,M,23,4,9,-,V,1,ALAMEDA,OAKLAND,2019
8870861,2,1,3,-,50,3,9,P,-,0,ALAMEDA,OAKLAND,2019
8875005,1,1,4,-,42,4,1,-,-,3,ALAMEDA,OAKLAND,2018
8875005,2,1,2,M,55,0,2,M,G,0,ALAMEDA,OAKLAND,2018
8883768,2,1,3,F,33,4,9,-,-,3,ALAMEDA,OAKLAND,2019
8893266,1,1,2,M,3,0,4,M,G,0,ALAMEDA,OAKLAND,2019
8893266,2,1,3,M,44,4,9,-,-,3,ALAMEDA,OAKLAND,2019
8894788,2,1,4,M,34,3,9,P,W,1,ALAMEDA,OAKLAND,2019
8897723,2,1,3,F,23,4,9,-,-,0,ALAMEDA,OAKLAND,2019
8897723,3,1,3,M,6,4,9,-,-,0,ALAMEDA,OAKLAND,2019
8926960,2,1,3,M,60,3,9,P,A,0,ALAMEDA,OAKLAND,2019
8935298,1,1,2,M,22,0,3,M,G,3,ALAMEDA,OAKLAND,2019
8935298,2,1,3,F,45,4,9,-,-,3,ALAMEDA,OAKLAND,2019
8936200,1,1,3,F,14,4,9,-,-,0,ALAMEDA,OAKLAND,2019
8941646,1,1,3,M,18,4,9,-,-,3,ALAMEDA,OAKLAND,2019
8942854,1,1,3,M,45,4,9,-,-,0,ALAMEDA,OAKLAND,2019
8947286,1,1,2,M,33,0,3,M,G,0,ALAMEDA,OAKLAND,2019
8947286,2,1,4,M,51,4,9,P,W,1,ALAMEDA,OAKLAND,2019
8954078,2,1,3,F,47,4,9,P,H,0,ALAMEDA,OAKLAND,2019
